,datetime,state,tg,ti,tw1,tw2,tw3,tc1,tc2,tc3,to,thop,tcool,tv,pg,pi,po,pv,dpo,dpf,dpv,mdoti,mdoto,gai,gao,m_add,datetime_tooltip,value_display,event_display,pg_lowpass,po_lowpass,pv_lowpass,pi_lowpass,dpo_lowpass,dpf_lowpass,dpv_lowpass,mdoti_lowpass,mdoto_lowpass,ms,fill_height
190,2023-01-11 08:49:43.330944,0,0,10.89727116,10.13807583,9.59264946,10.36353397,9.857915878,10.10365772,8.732041359,10.59417248,9.875759125,0.0,9.811309814,-0.824450617,1.006827616,0,0.671093273,-0.134812599,0.013673544,-0.058967159,0.084529397,0.08568279,0.059837453,0.007325113,,2023-01-11 08:49:43,,none,-0.8385840532411174,0.0,0.6005576898538357,0.9592745111306158,-0.1402863734747477,0.019260520660825772,-0.052990086209580234,0.08539270312702188,0.08108530359525587,0,0.0
195,2023-01-11 08:49:48.399890,0,0,10.89436913,10.13784599,9.588626862,10.3625412,9.85274601,10.10116482,8.736430168,10.60908031,9.862007141,0.0,9.809552193,-0.824450617,0.976306312,0,0.610050665,-0.141222073,0.026492492,-0.053625931,0.08581612,0.081683872,0.05985531,0.007325113,,2023-01-11 08:49:48,,none,-0.837767904780305,0.0,0.6014148624412268,0.9650162826621943,-0.14007071643459634,0.019014587780625886,-0.05282423319192914,0.08540010975801678,0.08098071324088495,0,0.0
200,2023-01-11 08:49:53.472151,0,0,10.89988899,10.13419819,9.590206146,10.35659981,9.854326248,10.09892273,8.731127739,10.60324955,9.855409622,0.0,9.815074921,-0.793929313,1.006827616,0,0.671093273,-0.146563301,0.024356,-0.053625931,0.08737613,0.082155655,0.059837453,0.007325113,,2023-01-11 08:49:53,,none,-0.8364040027061439,0.0,0.6018892680968186,0.9684983839702526,-0.13995076873554943,0.018989572211904036,-0.052872762980946474,0.08540730649689117,0.08101628465618477,0,0.0
205,2023-01-11 08:49:58.546377,0,0,10.90001106,10.13661289,9.60945034,10.36359978,9.846813202,10.10707951,8.745024681,10.58842373,9.866568565,0.0,9.816344261,-0.85497192,0.976306312,0,0.579529361,-0.131607862,0.01474179,-0.046148211,0.083450122,0.076192759,0.058041513,0.006714687,,2023-01-11 08:49:58,,none,-0.8365908518305528,0.0,0.6018780589434324,0.9700768081068746,-0.13988147604848947,0.019310159293192995,-0.05273272510226688,0.08540628278225854,0.08092110613233963,0,0.0
210,2023-01-11 08:50:03.619029,0,0,10.9054842,10.1294775,9.59985733,10.35952187,9.847539902,10.10895252,8.731603622,10.61673641,9.859728813,0.0,9.829847336,-0.824450617,1.006827616,0,0.579529361,-0.139085582,0.020083018,-0.053625931,0.08558836,0.081408992,0.059837453,0.007325113,,2023-01-11 08:50:03,,none,-0.8367110083379989,0.0,0.6016035278974989,0.9702111876215228,-0.14005061773504016,0.020127995417392932,-0.053073585343327116,0.08544839025969575,0.08115219780260315,0,0.0
215,2023-01-11 08:50:08.704675,0,0,10.91222,10.12971973,9.5992136,10.3624382,9.848043442,10.09990215,8.721017838,10.61338139,9.862488747,0.0,9.818240166,-0.824450617,0.976306312,0,0.579529361,-0.140153827,0.020083018,-0.053625931,0.085557959,0.081410661,0.05985531,0.007325113,,2023-01-11 08:50:08,,none,-0.8402365858414125,0.0,0.598283938178769,0.9677565591135706,-0.14020014604879263,0.02106945948790282,-0.053386111403914464,0.08546089034948319,0.08133526433369516,0,0.0
220,2023-01-11 08:50:13.782304,0,0,10.89622974,10.14849854,9.598992348,10.3674593,9.82718277,10.09012699,8.726915359,10.63360977,9.875844955,0.0,9.819058418,-0.85497192,0.976306312,0,0.549008058,-0.138017336,0.024356,-0.054694177,0.085044037,0.081802887,0.05985531,0.007325113,,2023-01-11 08:50:13,,none,-0.8433209227822801,0.0,0.5962399195950963,0.9662002370009102,-0.14038785211021187,0.021329926751874787,-0.0534875000383241,0.08549012926482738,0.08138611225128817,0,0.0
225,2023-01-11 08:50:18.841420,0,0,10.90387154,10.13894653,9.608012199,10.37166405,9.857605934,10.10984612,8.74243927,10.60417652,9.866656303,0.0,9.831290245,-0.793929313,1.006827616,0,0.579529361,-0.138017336,0.021151264,-0.054694177,0.08532629,0.082111115,0.059837453,0.007325113,,2023-01-11 08:50:18,,none,-0.842811510052817,0.0,0.5967181351109437,0.9664493359271239,-0.14070413045961266,0.021281736747078263,-0.0535416341223898,0.08556606609997107,0.08142665964992156,0,0.0
230,2023-01-11 08:50:23.915919,0,0,10.9080143,10.13888645,9.598778725,10.36969376,9.850667,10.10481834,8.741231918,10.62079048,9.877925873,0.0,9.819382668,-0.85497192,0.915263704,0,0.640571969,-0.141222073,0.026492492,-0.060035405,0.085170958,0.086093589,0.065335697,0.009156391,,2023-01-11 08:50:23,,none,-0.8428935144224636,0.0,0.5979351798747043,0.9661077847233841,-0.14071317036630324,0.02127202933406937,-0.05380668472301718,0.08556363095329565,0.08161435488913339,0,0.0
235,2023-01-11 08:50:28.965243,0,0,10.90186596,10.1480217,9.592104912,10.36277962,9.852401733,10.09776306,8.717347145,10.61509991,9.858856201,0.0,9.826607704,-0.916014528,0.945785008,0,0.579529361,-0.13694909,0.019014772,-0.056830668,0.084484699,0.083486961,0.058058838,0.006714687,,2023-01-11 08:50:28,,none,-0.8429870620630587,0.0,0.598011950063291,0.9662854807329528,-0.14060701529913916,0.021098485312746607,-0.05391098014086213,0.08553951433638829,0.08168836964307742,0,0.0
