,datetime,state,tg,ti,tw1,tw2,tw3,tc1,tc2,tc3,to,thop,tcool,tv,pg,pi,po,pv,dpo,dpf,dpv,mdoti,mdoto,gai,gao,m_add,sfl,datetime_tooltip,value_display,event_display,pg_lowpass,po_lowpass,pv_lowpass,pi_lowpass,dpo_lowpass,dpf_lowpass,dpv_lowpass,mdoti_lowpass,mdoto_lowpass,sfl_lowpass,ms,fill_height
170,2023-02-23 08:57:27.840678,0,0,121.296669,11.72743797,12.97804928,12.33139801,53.93914413,35.26177979,33.11953735,58.33045578,9.696784973,0.0,30.01260757,6.653268832,5.462937981,0,3.570617141,1.36073129,0,0.945183738,0.212744429,0.294242046,0.952190448,0.462702967,0.0,2.568676779,2023-02-23 08:57:27,,none,7.1507254215232665,0.0,3.3684158409932565,6.301330168735949,2.6007767832820603,0.0,0.9057991491042987,0.22094084608525952,0.280222790816471,2.5692178032916106,0.0,0.0
175,2023-02-23 08:57:32.883405,0,0,127.0263748,12.24696064,13.50073624,12.65344715,58.12356186,38.0499649,34.86950684,62.18179321,9.747146606,0.0,32.03304291,6.409098401,5.523980588,0,3.295925406,0.892839702,0,1.047735319,0.183431759,0.294618149,1.048894867,0.537785374,0.0,2.568676779,2023-02-23 08:57:32,,none,7.226150387802467,0.0,3.424887350146543,6.335161121206066,2.4782377841208656,0.0,0.9413218512457561,0.22153740068852634,0.28376436414586176,2.5691723405582882,0.0,0.0
180,2023-02-23 08:57:37.967249,0,0,131.9909058,12.75230217,13.91514683,12.95301723,62.18901825,40.7531662,37.39369583,65.39813995,9.833562851,0.0,34.30410767,6.653268832,6.622747528,0,3.570617141,3.022921499,0,0.626846539,0.257967779,0.255239028,1.177446971,0.646441216,0.0,2.569602796,2023-02-23 08:57:37,,none,7.2819114342263065,0.0,3.4731293714702134,6.35093854291317,2.4587517410459014,0.0,0.9685069140487033,0.22269423337879415,0.2861273536797382,2.5692002379759344,0.0,0.0
185,2023-02-23 08:57:43.042134,2,0,135.9390106,13.26448059,14.30457115,13.23853874,65.78939819,43.23891068,39.88594437,68.75048065,9.955245018,0.0,36.3525238,5.951278843,7.080567086,0,3.509574533,5.382676108,0,1.076577951,0.209916876,0.299783335,1.261478483,0.720302771,0.0,2.568213771,2023-02-23 08:57:43,,none,7.290392605121564,0.0,3.513332897969501,6.359547755020161,2.5040999986295938,0.0,0.997545060464054,0.22273693119347185,0.28867989286796497,2.5692323102771484,0.0,0.0
190,2023-02-23 08:57:48.101521,2,0,139.4740295,13.80770397,14.72175217,13.55141163,69.76533508,46.23661423,42.77962875,71.14238739,10.07916355,0.0,38.36159134,5.798672323,7.019524478,0,3.387489318,4.669088023,0,0.969753388,0.237831843,0.288490769,1.387209494,0.833231596,0.0,2.568676779,2023-02-23 08:57:48,,none,7.27454591839858,0.0,3.5390790019606384,6.315676960911656,2.520776549888476,0.0,1.0224736473858702,0.22297097461900303,0.2903326491697037,2.5692502721651276,0.0,0.0
195,2023-02-23 08:57:53.169361,2,0,142.6033783,14.30967617,15.12322044,13.83420944,72.77700043,48.71057892,45.13661957,73.32522583,10.1963644,0.0,40.2263298,5.890236235,5.798672323,0,3.32644671,3.173544134,0,1.437644976,0.232764624,0.305021683,1.517343112,0.942497864,0.0,2.569602796,2023-02-23 08:57:53,,none,7.251267317864042,0.0,3.559617320103572,6.245926584723757,2.507236994067712,0.0,1.0493208993450032,0.2217418028528747,0.29163044775738617,2.5692327425974035,0.0,0.0
200,2023-02-23 08:57:58.230056,2,0,145.1821899,14.83431911,15.46851444,14.10281944,75.47859955,51.28804398,47.54476547,75.22169495,10.30648994,0.0,41.86628342,7.843599683,6.042842754,0,3.997915395,1.66197656,0,0.887498474,0.22396445,0.2901173,1.624495601,1.045049445,0.0,2.57099182,2023-02-23 08:57:58,,none,7.305683669309157,0.0,3.5768609707008934,6.241873242518344,2.51216991077316,0.0,1.072776066675964,0.220596857266517,0.29261618851949994,2.569246258263388,0.0,0.0
205,2023-02-23 08:58:03.299664,2,0,147.8546906,15.41338634,15.78606033,14.39515591,77.97028351,53.51864624,49.83971405,77.10800171,10.40984154,0.0,43.74560547,6.56170492,5.890236235,0,3.295925406,4.211878891,0,1.362867782,0.201931122,0.301072806,1.690842339,1.110365035,0.0,2.568213771,2023-02-23 08:58:03,,none,7.400764862344986,0.0,3.591458222359037,6.338690078995105,2.51773655243731,0.0,1.091476501156331,0.22141765245351833,0.2935327740123526,2.5692359099524125,0.7885333453254513,0.014643438251177157
210,2023-02-23 08:58:08.372129,2,0,149.836441,15.93368053,16.18750381,14.7039299,80.358078,55.74799347,51.95846176,78.68952179,10.52857685,0.0,45.13576889,7.294216213,6.56170492,0,3.387489318,3.909565377,0,0.954797949,0.240118766,0.284258558,1.809306892,1.231229398,0.0,2.569602796,2023-02-23 08:58:08,,none,7.506925090460429,0.0,3.5990610145434596,6.530125481032433,2.5298779721515077,0.0,1.1102416381201912,0.22410352812488443,0.29467959671376387,2.569248941038352,1.775161375959816,0.029286876502354314
215,2023-02-23 08:58:13.435165,2,0,151.5709534,16.367239,16.5078392,14.94658852,82.63108826,57.81354904,54.27177811,80.10449219,10.63670826,0.0,46.48388672,7.172130997,6.989003174,0,3.387489318,3.550634843,0,1.237883042,0.257521527,0.29968884,1.856986321,1.289219875,0.0,2.568676779,2023-02-23 08:58:13,,none,7.522977607222164,0.0,3.6111503178060453,6.6648326602271135,2.5181597002726583,0.0,1.1233838901963833,0.22555022708882477,0.29532816528694306,2.5692243767654874,2.759955403658556,0.04393031475353147
220,2023-02-23 08:58:18.481753,2,0,152.9877014,16.83242035,16.87290382,15.22214603,84.68289185,59.72179031,56.0798645,81.31466675,10.75436497,0.0,47.61969376,8.331940545,5.6155445,0,3.32644671,2.463160786,0,1.331888658,0.230454686,0.299822349,1.962390945,1.376510805,0.0,2.570065804,2023-02-23 08:58:18,,none,7.569551150918946,0.0,3.625142245522383,6.7551403560607834,2.485715390226766,0.0,1.1274043637138327,0.2255020956738614,0.2949993517404835,2.569229900177621,3.7415501864442473,0.05857375300470863
